FAMID	ID	PID	MID	SEX	POP	POP_SIMPLE	COUNTRY	SPOP	CONTINENT	ORDER	POP_ORDER	SPOP_ORDER	POP_COLOR	SPOP_COLOR
HG01795	HG01795	0	0	2	CDX	Chinese_Dai	China	EAS	East_Asia	619	12	1	#339900	#adff33
HG01796	HG01796	0	0	2	CDX	Chinese_Dai	China	EAS	East_Asia	620	12	1	#339900	#adff33
HG01797	HG01797	0	0	2	CDX	Chinese_Dai	China	EAS	East_Asia	621	12	1	#339900	#adff33
HG01798	HG01798	0	0	2	CDX	Chinese_Dai	China	EAS	East_Asia	622	12	1	#339900	#adff33
HG01799	HG01799	0	0	2	CDX	Chinese_Dai	China	EAS	East_Asia	623	12	1	#339900	#adff33
HG01800	HG01800	0	0	2	CDX	Chinese_Dai	China	EAS	East_Asia	624	12	1	#339900	#adff33
HG01801	HG01801	0	0	2	CDX	Chinese_Dai	China	EAS	East_Asia	625	12	1	#339900	#adff33
HG01802	HG01802	0	0	2	CDX	Chinese_Dai	China	EAS	East_Asia	626	12	1	#339900	#adff33
HG01804	HG01804	0	0	2	CDX	Chinese_Dai	China	EAS	East_Asia	627	12	1	#339900	#adff33
HG01805	HG01805	0	0	2	CDX	Chinese_Dai	China	EAS	East_Asia	628	12	1	#339900	#adff33
HG01806	HG01806	0	0	2	CDX	Chinese_Dai	China	EAS	East_Asia	629	12	1	#339900	#adff33
HG01807	HG01807	0	0	2	CDX	Chinese_Dai	China	EAS	East_Asia	630	12	1	#339900	#adff33
HG01808	HG01808	0	0	2	CDX	Chinese_Dai	China	EAS	East_Asia	631	12	1	#339900	#adff33
HG01809	HG01809	0	0	2	CDX	Chinese_Dai	China	EAS	East_Asia	632	12	1	#339900	#adff33
HG01810	HG01810	0	0	1	CDX	Chinese_Dai	China	EAS	East_Asia	633	12	1	#339900	#adff33
HG01811	HG01811	0	0	1	CDX	Chinese_Dai	China	EAS	East_Asia	634	12	1	#339900	#adff33
HG01812	HG01812	0	0	2	CDX	Chinese_Dai	China	EAS	East_Asia	635	12	1	#339900	#adff33
HG01813	HG01813	0	0	2	CDX	Chinese_Dai	China	EAS	East_Asia	636	12	1	#339900	#adff33
HG01815	HG01815	0	0	2	CDX	Chinese_Dai	China	EAS	East_Asia	637	12	1	#339900	#adff33
HG01816	HG01816	0	0	1	CDX	Chinese_Dai	China	EAS	East_Asia	638	12	1	#339900	#adff33
HG01817	HG01817	0	0	2	CDX	Chinese_Dai	China	EAS	East_Asia	639	12	1	#339900	#adff33
HG01840	HG01840	0	0	1	KHV	Kinh	Vietnam	EAS	East_Asia	640	16	1	#00cc33	#adff33
HG01841	HG01841	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	641	16	1	#00cc33	#adff33
HG01842	HG01842	0	0	1	KHV	Kinh	Vietnam	EAS	East_Asia	642	16	1	#00cc33	#adff33
HG01843	HG01843	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	643	16	1	#00cc33	#adff33
HG01844	HG01844	0	0	1	KHV	Kinh	Vietnam	EAS	East_Asia	644	16	1	#00cc33	#adff33
HG01845	HG01845	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	645	16	1	#00cc33	#adff33
HG01846	HG01846	0	0	1	KHV	Kinh	Vietnam	EAS	East_Asia	646	16	1	#00cc33	#adff33
HG01847	HG01847	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	647	16	1	#00cc33	#adff33
HG01848	HG01848	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	648	16	1	#00cc33	#adff33
HG01849	HG01849	0	0	1	KHV	Kinh	Vietnam	EAS	East_Asia	649	16	1	#00cc33	#adff33
HG01850	HG01850	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	650	16	1	#00cc33	#adff33
HG01851	HG01851	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	651	16	1	#00cc33	#adff33
HG01852	HG01852	0	0	1	KHV	Kinh	Vietnam	EAS	East_Asia	652	16	1	#00cc33	#adff33
HG01853	HG01853	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	653	16	1	#00cc33	#adff33
HG01855	HG01855	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	654	16	1	#00cc33	#adff33
HG01857	HG01857	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	655	16	1	#00cc33	#adff33
HG01858	HG01858	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	656	16	1	#00cc33	#adff33
HG01859	HG01859	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	657	16	1	#00cc33	#adff33
HG01860	HG01860	0	0	1	KHV	Kinh	Vietnam	EAS	East_Asia	658	16	1	#00cc33	#adff33
HG01861	HG01861	0	0	1	KHV	Kinh	Vietnam	EAS	East_Asia	659	16	1	#00cc33	#adff33
HG01862	HG01862	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	660	16	1	#00cc33	#adff33
HG01863	HG01863	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	661	16	1	#00cc33	#adff33
HG01864	HG01864	0	0	1	KHV	Kinh	Vietnam	EAS	East_Asia	662	16	1	#00cc33	#adff33
HG01865	HG01865	0	0	1	KHV	Kinh	Vietnam	EAS	East_Asia	663	16	1	#00cc33	#adff33
HG01866	HG01866	0	0	1	KHV	Kinh	Vietnam	EAS	East_Asia	664	16	1	#00cc33	#adff33
HG01867	HG01867	0	0	1	KHV	Kinh	Vietnam	EAS	East_Asia	665	16	1	#00cc33	#adff33
HG01868	HG01868	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	666	16	1	#00cc33	#adff33
HG01869	HG01869	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	667	16	1	#00cc33	#adff33
HG01870	HG01870	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	668	16	1	#00cc33	#adff33
HG01871	HG01871	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	669	16	1	#00cc33	#adff33
HG01872	HG01872	0	0	1	KHV	Kinh	Vietnam	EAS	East_Asia	670	16	1	#00cc33	#adff33
HG01873	HG01873	0	0	1	KHV	Kinh	Vietnam	EAS	East_Asia	671	16	1	#00cc33	#adff33
HG01874	HG01874	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	672	16	1	#00cc33	#adff33
HG01878	HG01878	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	673	16	1	#00cc33	#adff33
HG01879	HG01879	0	0	1	ACB	African-Caribbean	Barbados	AFR	Africa	674	6	3	#ff9900	#ffeb33
HG01880	HG01880	0	0	2	ACB	African-Caribbean	Barbados	AFR	Africa	675	6	3	#ff9900	#ffeb33
HG01882	HG01882	0	0	1	ACB	African-Caribbean	Barbados	AFR	Africa	676	6	3	#ff9900	#ffeb33
HG01883	HG01883	0	0	2	ACB	African-Caribbean	Barbados	AFR	Africa	677	6	3	#ff9900	#ffeb33
HG01885	HG01885	0	0	1	ACB	African-Caribbean	Barbados	AFR	Africa	678	6	3	#ff9900	#ffeb33
HG01886	HG01886	0	0	2	ACB	African-Caribbean	Barbados	AFR	Africa	679	6	3	#ff9900	#ffeb33
HG01889	HG01889	0	0	2	ACB	African-Caribbean	Barbados	AFR	Africa	680	6	3	#ff9900	#ffeb33
HG01890	HG01890	0	0	1	ACB	African-Caribbean	Barbados	AFR	Africa	681	6	3	#ff9900	#ffeb33
HG01892	HG01892	0	0	1	PEL	Peruvian	Peru	AMR	America	682	10	5	#ff0000	#ff3d3d
HG01893	HG01893	0	0	2	PEL	Peruvian	Peru	AMR	America	683	10	5	#ff0000	#ff3d3d
HG01894	HG01894	0	0	2	ACB	African-Caribbean	Barbados	AFR	Africa	684	6	3	#ff9900	#ffeb33
HG01896	HG01896	0	0	2	ACB	African-Caribbean	Barbados	AFR	Africa	685	6	3	#ff9900	#ffeb33
HG01912	HG01912	0	0	1	ACB	African-Caribbean	Barbados	AFR	Africa	686	6	3	#ff9900	#ffeb33
HG01914	HG01914	0	0	1	ACB	African-Caribbean	Barbados	AFR	Africa	687	6	3	#ff9900	#ffeb33
HG01915	HG01915	0	0	2	ACB	African-Caribbean	Barbados	AFR	Africa	688	6	3	#ff9900	#ffeb33
HG01917	HG01917	0	0	1	PEL	Peruvian	Peru	AMR	America	689	10	5	#ff0000	#ff3d3d
HG01918	HG01918	0	0	2	PEL	Peruvian	Peru	AMR	America	690	10	5	#ff0000	#ff3d3d
HG01920	HG01920	0	0	1	PEL	Peruvian	Peru	AMR	America	691	10	5	#ff0000	#ff3d3d
